supplier_id,supplier_name,supplier_tier,country,city,category_specialty,contract_start_date,contract_end_date,payment_terms_days,is_strategic,risk_score
SUP-001,Maghreb Industrial Solutions,A,Morocco,Rabat,Safety Equipment,2019-04-01,2020-03-31,90,1,1
SUP-002,Atlas Mining Supplies,A,Morocco,Safi,Consulting Services,2018-01-01,2019-01-01,30,1,2
SUP-003,Casablanca Tech Partners,B,Morocco,Safi,Packaging,2019-12-01,2022-11-30,60,1,7
SUP-004,Maroc Chimie Industries,B,Morocco,Jorf Lasfar,Safety Equipment,2018-03-01,2021-02-28,60,1,6
SUP-005,Rif Industrial Group,A,Morocco,Agadir,Construction,2020-02-01,2021-01-31,30,1,4
SUP-006,Souss-Massa Equipment,C,Morocco,Fes,Maintenance,2020-01-01,2022-12-31,90,1,8
SUP-007,Tensift Logistics SA,C,Morocco,Rabat,Consulting Services,2018-09-01,2020-08-31,90,1,10
SUP-008,Draa-Tafilalet Resources,B,Morocco,Fes,Transportation,2018-01-01,2020-12-31,60,1,4
SUP-009,Beni Mellal Supplies,C,Morocco,Rabat,Chemical Products,2018-07-01,2020-06-30,90,1,8
SUP-010,Khouribga Industrial Co.,A,Morocco,Fes,Energy,2019-11-01,2021-10-31,90,1,1
SUP-011,Laayoune Mining Services,B,Morocco,Khouribga,Industrial Supplies,2019-08-01,2021-07-31,90,1,5
SUP-012,Dakhla Resources Ltd,A,Morocco,Safi,Energy,2018-04-01,2019-04-01,60,1,3
SUP-013,Agadir Trade Solutions,A,Morocco,Agadir,Spare Parts,2020-04-01,2023-04-01,60,1,4
SUP-014,Fes-Meknes Industries,A,Morocco,Tanger,IT Equipment,2019-12-01,2022-11-30,90,1,3
SUP-015,Oriental Mining Group,C,Morocco,Marrakech,Consulting Services,2020-04-01,2021-04-01,60,1,9
SUP-016,Marrakech Logistics SA,C,Morocco,Rabat,Chemical Products,2018-03-01,2021-02-28,90,1,6
